ID,Section,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
826,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Oxygen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
827,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,50 mph,60 mph,A,60 ÷ 1.5 = 40 mph.
828,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Tired,Sad,A,'Elated' means extremely happy or joyful.
829,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,A is false,C is wrong,B is true,A,The passage directly supports D.
830,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,2,3,A,"2x = 6, x = 3."
831,General Science (GS),What is the basic unit of life?,Cell,Organ,Tissue,Atom,A,The cell is the basic structural and functional unit of all organisms.
832,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$70,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
833,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Tired,Joyful,D,'Elated' means extremely happy or joyful.
834,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,None of the above,It’s raining,The author disagrees,A,Inference: it happened.
835,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,2,5,4,D,"2x = 6, x = 3."
836,General Science (GS),What is the basic unit of life?,Cell,Tissue,Atom,Organ,A,The cell is the basic structural and functional unit of all organisms.
837,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",25 mpg,30 mpg,20 mpg,35 mpg,B,375 ÷ 15 = 25 mpg.
838,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Tired,Angry,Joyful,D,'Elated' means extremely happy or joyful.
839,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,It’s raining,The event happened,None of the above,C,Inference: it happened.
840,Mathematics Knowledge (MK),What is 15% of 200?,35,20,25,30,D,15% of 200 = 0.15 × 200 = 30.
841,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,A,Plants absorb carbon dioxide during photosynthesis.
842,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,45 mph,60 mph,40 mph,B,60 ÷ 1.5 = 40 mph.
843,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Colorful,Bright,Clear,A,"'Vivid' means bright or intense, opposite is dull."
844,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Confuse,Inform,D,The text provides facts and information.
845,Mathematics Knowledge (MK),What is the square root of 81?,9,7,10,8,A,9 × 9 = 81.
846,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
847,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,35 mpg,20 mpg,25 mpg,A,375 ÷ 15 = 25 mpg.
848,Word Knowledge (WK),What is the synonym of 'elated'?,Joyful,Angry,Tired,Sad,A,'Elated' means extremely happy or joyful.
849,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,It’s raining,The author disagrees,The event happened,D,Inference: it happened.
850,Mathematics Knowledge (MK),What is the square root of 81?,8,9,10,7,B,9 × 9 = 81.
851,General Science (GS),What is the basic unit of life?,Atom,Organ,Tissue,Cell,D,The cell is the basic structural and functional unit of all organisms.
852,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$60,$75,$70,B,"25% of 80 is 20, so 80 - 20 = 60."
853,Word Knowledge (WK),'Conceal' means to:,Display,Reveal,Hide,Show,C,To conceal is to hide something.
854,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,D is accurate,C is wrong,A is false,B,The passage directly supports D.
855,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,3,4,5,C,"2x = 6, x = 3."
856,General Science (GS),What is the basic unit of life?,Tissue,Organ,Cell,Atom,C,The cell is the basic structural and functional unit of all organisms.
857,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$70,$65,$75,A,"25% of 80 is 20, so 80 - 20 = 60."
858,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Clear,Bright,Dull,D,"'Vivid' means bright or intense, opposite is dull."
859,Paragraph Comprehension (PC),"According to the passage, which is true?",B is true,D is accurate,C is wrong,A is false,B,The passage directly supports D.
860,Mathematics Knowledge (MK),What is the square root of 81?,10,7,9,8,C,9 × 9 = 81.
861,General Science (GS),What planet is known as the Red Planet?,Jupiter,Earth,Mars,Venus,C,Mars is often called the Red Planet due to its reddish appearance.
862,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,35 mpg,25 mpg,20 mpg,A,375 ÷ 15 = 25 mpg.
863,Word Knowledge (WK),'Conceal' means to:,Show,Display,Hide,Reveal,C,To conceal is to hide something.
864,Paragraph Comprehension (PC),"According to the passage, which is true?",A is false,D is accurate,C is wrong,B is true,B,The passage directly supports D.
865,Mathematics Knowledge (MK),What is 15% of 200?,35,25,30,20,C,15% of 200 = 0.15 × 200 = 30.
866,General Science (GS),What planet is known as the Red Planet?,Earth,Jupiter,Venus,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
867,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$70,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
868,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Clear,Colorful,Dull,D,"'Vivid' means bright or intense, opposite is dull."
869,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Persuade,Entertain,Confuse,A,The text provides facts and information.
870,Mathematics Knowledge (MK),What is 15% of 200?,35,20,25,30,D,15% of 200 = 0.15 × 200 = 30.
871,General Science (GS),What planet is known as the Red Planet?,Jupiter,Mars,Venus,Earth,B,Mars is often called the Red Planet due to its reddish appearance.
872,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,60 mph,45 mph,40 mph,C,60 ÷ 1.5 = 40 mph.
873,Word Knowledge (WK),'Conceal' means to:,Display,Hide,Show,Reveal,B,To conceal is to hide something.
874,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,A is false,D is accurate,B is true,C,The passage directly supports D.
875,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,2,5,3,4,D,"2x = 6, x = 3."
876,General Science (GS),What planet is known as the Red Planet?,Venus,Jupiter,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
877,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,60 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
878,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Clear,Bright,B,"'Vivid' means bright or intense, opposite is dull."
879,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,It’s raining,None of the above,The author disagrees,A,Inference: it happened.
880,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,3,2,A,"2x = 6, x = 3."
881,General Science (GS),What is the basic unit of life?,Atom,Tissue,Organ,Cell,D,The cell is the basic structural and functional unit of all organisms.
882,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,45 mph,60 mph,40 mph,B,60 ÷ 1.5 = 40 mph.
883,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Tired,Joyful,D,'Elated' means extremely happy or joyful.
884,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Confuse,Inform,D,The text provides facts and information.
885,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,2,5,3,A,"2x = 6, x = 3."
886,General Science (GS),What planet is known as the Red Planet?,Earth,Venus,Jupiter,Mars,D,Mars is often called the Red Planet due to its reddish appearance.
887,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$70,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
888,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Clear,Colorful,B,"'Vivid' means bright or intense, opposite is dull."
889,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Confuse,Inform,D,The text provides facts and information.
890,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,4,5,2,B,"2x = 6, x = 3."
891,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Carbon Dioxide,Hydrogen,Oxygen,B,Plants absorb carbon dioxide during photosynthesis.
892,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$65,$75,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
893,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Tired,Joyful,D,'Elated' means extremely happy or joyful.
894,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Confuse,Persuade,Entertain,A,The text provides facts and information.
895,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,5,2,4,D,"2x = 6, x = 3."
896,General Science (GS),What is the basic unit of life?,Atom,Cell,Organ,Tissue,B,The cell is the basic structural and functional unit of all organisms.
897,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$70,$75,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
898,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Clear,Colorful,Bright,A,"'Vivid' means bright or intense, opposite is dull."
899,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,A is false,D is accurate,B is true,C,The passage directly supports D.
900,Mathematics Knowledge (MK),What is the square root of 81?,7,8,10,9,D,9 × 9 = 81.
901,General Science (GS),What planet is known as the Red Planet?,Jupiter,Venus,Mars,Earth,C,Mars is often called the Red Planet due to its reddish appearance.
902,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$75,$60,$65,C,"25% of 80 is 20, so 80 - 20 = 60."
903,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Tired,Joyful,Angry,C,'Elated' means extremely happy or joyful.
904,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Entertain,Inform,Persuade,C,The text provides facts and information.
905,Mathematics Knowledge (MK),What is the square root of 81?,8,10,9,7,C,9 × 9 = 81.
906,General Science (GS),What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the basic structural and functional unit of all organisms.
907,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$70,$60,$65,$75,B,"25% of 80 is 20, so 80 - 20 = 60."
908,Word Knowledge (WK),What is the synonym of 'elated'?,Tired,Angry,Joyful,Sad,C,'Elated' means extremely happy or joyful.
909,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,The event happened,None of the above,It’s raining,B,Inference: it happened.
910,Mathematics Knowledge (MK),What is 15% of 200?,35,30,20,25,B,15% of 200 = 0.15 × 200 = 30.
911,General Science (GS),What planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,C,Mars is often called the Red Planet due to its reddish appearance.
912,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,60 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
913,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Bright,Clear,B,"'Vivid' means bright or intense, opposite is dull."
914,Paragraph Comprehension (PC),"According to the passage, which is true?",C is wrong,B is true,D is accurate,A is false,C,The passage directly supports D.
915,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,3,5,2,A,"2x = 6, x = 3."
916,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Hydrogen,Oxygen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
917,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$60,$70,$75,B,"25% of 80 is 20, so 80 - 20 = 60."
918,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Dull,Bright,Colorful,Clear,A,"'Vivid' means bright or intense, opposite is dull."
919,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Inform,Confuse,C,The text provides facts and information.
920,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,3,5,2,A,"2x = 6, x = 3."
921,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Nitrogen,Carbon Dioxide,Oxygen,C,Plants absorb carbon dioxide during photosynthesis.
922,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,40 mph,60 mph,50 mph,A,60 ÷ 1.5 = 40 mph.
923,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Angry,Joyful,Tired,C,'Elated' means extremely happy or joyful.
924,Paragraph Comprehension (PC),"From the passage, we can infer that:",None of the above,It’s raining,The author disagrees,The event happened,D,Inference: it happened.
925,Mathematics Knowledge (MK),What is 15% of 200?,20,35,30,25,C,15% of 200 = 0.15 × 200 = 30.
926,General Science (GS),What gas do plants absorb from the atmosphere?,Hydrogen,Nitrogen,Oxygen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
927,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$65,$70,$60,$75,C,"25% of 80 is 20, so 80 - 20 = 60."
928,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Show,Display,A,To conceal is to hide something.
929,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Persuade,Confuse,Entertain,A,The text provides facts and information.
930,Mathematics Knowledge (MK),What is 15% of 200?,35,20,30,25,C,15% of 200 = 0.15 × 200 = 30.
931,General Science (GS),What is the basic unit of life?,Tissue,Atom,Cell,Organ,C,The cell is the basic structural and functional unit of all organisms.
932,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$70,$75,$65,A,"25% of 80 is 20, so 80 - 20 = 60."
933,Word Knowledge (WK),'Conceal' means to:,Display,Reveal,Show,Hide,D,To conceal is to hide something.
934,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,None of the above,The event happened,It’s raining,C,Inference: it happened.
935,Mathematics Knowledge (MK),What is the square root of 81?,9,10,8,7,A,9 × 9 = 81.
936,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
937,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$65,$60,$70,C,"25% of 80 is 20, so 80 - 20 = 60."
938,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Colorful,Clear,B,"'Vivid' means bright or intense, opposite is dull."
939,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Inform,Persuade,Entertain,B,The text provides facts and information.
940,Mathematics Knowledge (MK),What is 15% of 200?,25,35,20,30,D,15% of 200 = 0.15 × 200 = 30.
941,General Science (GS),What is the basic unit of life?,Organ,Cell,Atom,Tissue,B,The cell is the basic structural and functional unit of all organisms.
942,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,60 mph,50 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
943,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Sad,Tired,Joyful,D,'Elated' means extremely happy or joyful.
944,Paragraph Comprehension (PC),"From the passage, we can infer that:",The event happened,The author disagrees,It’s raining,None of the above,A,Inference: it happened.
945,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,5,2,3,4,D,"2x = 6, x = 3."
946,General Science (GS),What is the basic unit of life?,Cell,Tissue,Atom,Organ,A,The cell is the basic structural and functional unit of all organisms.
947,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,25 mpg,20 mpg,35 mpg,A,375 ÷ 15 = 25 mpg.
948,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Bright,Clear,B,"'Vivid' means bright or intense, opposite is dull."
949,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Persuade,Entertain,Inform,D,The text provides facts and information.
950,Mathematics Knowledge (MK),What is 15% of 200?,20,25,35,30,D,15% of 200 = 0.15 × 200 = 30.
951,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,D,Plants absorb carbon dioxide during photosynthesis.
952,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",20 mpg,35 mpg,25 mpg,30 mpg,D,375 ÷ 15 = 25 mpg.
953,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Show,Display,A,To conceal is to hide something.
954,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,The event happened,None of the above,It’s raining,B,Inference: it happened.
955,Mathematics Knowledge (MK),What is the square root of 81?,10,8,7,9,D,9 × 9 = 81.
956,General Science (GS),What is the basic unit of life?,Cell,Atom,Organ,Tissue,A,The cell is the basic structural and functional unit of all organisms.
957,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$75,$65,$70,$60,D,"25% of 80 is 20, so 80 - 20 = 60."
958,Word Knowledge (WK),'Conceal' means to:,Hide,Reveal,Show,Display,A,To conceal is to hide something.
959,Paragraph Comprehension (PC),The author’s main purpose is to:,Confuse,Entertain,Persuade,Inform,D,The text provides facts and information.
960,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,4,5,3,2,A,"2x = 6, x = 3."
961,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,B,Plants absorb carbon dioxide during photosynthesis.
962,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,60 mph,50 mph,40 mph,A,60 ÷ 1.5 = 40 mph.
963,Word Knowledge (WK),What is the synonym of 'elated'?,Sad,Joyful,Angry,Tired,B,'Elated' means extremely happy or joyful.
964,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,The event happened,It’s raining,None of the above,B,Inference: it happened.
965,Mathematics Knowledge (MK),What is the square root of 81?,9,7,10,8,A,9 × 9 = 81.
966,General Science (GS),What planet is known as the Red Planet?,Earth,Mars,Venus,Jupiter,B,Mars is often called the Red Planet due to its reddish appearance.
967,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",45 mph,50 mph,40 mph,60 mph,A,60 ÷ 1.5 = 40 mph.
968,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Bright,Clear,B,"'Vivid' means bright or intense, opposite is dull."
969,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Persuade,Confuse,Inform,D,The text provides facts and information.
970,Mathematics Knowledge (MK),Solve for x: 2x + 5 = 11,3,2,5,4,D,"2x = 6, x = 3."
971,General Science (GS),What planet is known as the Red Planet?,Mars,Venus,Jupiter,Earth,A,Mars is often called the Red Planet due to its reddish appearance.
972,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",50 mph,60 mph,45 mph,40 mph,C,60 ÷ 1.5 = 40 mph.
973,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Clear,Bright,Colorful,Dull,D,"'Vivid' means bright or intense, opposite is dull."
974,Paragraph Comprehension (PC),The author’s main purpose is to:,Persuade,Entertain,Inform,Confuse,C,The text provides facts and information.
975,Mathematics Knowledge (MK),What is 15% of 200?,30,20,35,25,A,15% of 200 = 0.15 × 200 = 30.
976,General Science (GS),What is the basic unit of life?,Cell,Organ,Tissue,Atom,A,The cell is the basic structural and functional unit of all organisms.
977,Arithmetic Reasoning (AR),A sweater originally costs $80. It is on sale for 25% off. What is the sale price?,$60,$65,$70,$75,A,"25% of 80 is 20, so 80 - 20 = 60."
978,Word Knowledge (WK),'Conceal' means to:,Show,Hide,Display,Reveal,B,To conceal is to hide something.
979,Paragraph Comprehension (PC),"From the passage, we can infer that:",It’s raining,The author disagrees,None of the above,The event happened,D,Inference: it happened.
980,Mathematics Knowledge (MK),What is 15% of 200?,25,20,30,35,C,15% of 200 = 0.15 × 200 = 30.
981,General Science (GS),What gas do plants absorb from the atmosphere?,Oxygen,Hydrogen,Carbon Dioxide,Nitrogen,C,Plants absorb carbon dioxide during photosynthesis.
982,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,45 mph,40 mph,50 mph,B,60 ÷ 1.5 = 40 mph.
983,Word Knowledge (WK),What is the synonym of 'elated'?,Angry,Joyful,Sad,Tired,B,'Elated' means extremely happy or joyful.
984,Paragraph Comprehension (PC),The author’s main purpose is to:,Inform,Persuade,Entertain,Confuse,A,The text provides facts and information.
985,Mathematics Knowledge (MK),What is the square root of 81?,7,9,8,10,B,9 × 9 = 81.
986,General Science (GS),What gas do plants absorb from the atmosphere?,Carbon Dioxide,Hydrogen,Nitrogen,Oxygen,A,Plants absorb carbon dioxide during photosynthesis.
987,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",35 mpg,20 mpg,30 mpg,25 mpg,C,375 ÷ 15 = 25 mpg.
988,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Clear,Bright,Dull,D,"'Vivid' means bright or intense, opposite is dull."
989,Paragraph Comprehension (PC),"From the passage, we can infer that:",The author disagrees,None of the above,It’s raining,The event happened,D,Inference: it happened.
990,Mathematics Knowledge (MK),What is 15% of 200?,25,20,35,30,D,15% of 200 = 0.15 × 200 = 30.
991,General Science (GS),What planet is known as the Red Planet?,Mars,Earth,Venus,Jupiter,A,Mars is often called the Red Planet due to its reddish appearance.
992,Arithmetic Reasoning (AR),"If a train travels 60 miles in 1.5 hours, what is its average speed?",60 mph,40 mph,50 mph,45 mph,D,60 ÷ 1.5 = 40 mph.
993,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Bright,Dull,Colorful,Clear,B,"'Vivid' means bright or intense, opposite is dull."
994,Paragraph Comprehension (PC),The author’s main purpose is to:,Entertain,Confuse,Inform,Persuade,C,The text provides facts and information.
995,Mathematics Knowledge (MK),What is 15% of 200?,30,25,20,35,A,15% of 200 = 0.15 × 200 = 30.
996,General Science (GS),What gas do plants absorb from the atmosphere?,Nitrogen,Carbon Dioxide,Oxygen,Hydrogen,B,Plants absorb carbon dioxide during photosynthesis.
997,Arithmetic Reasoning (AR),"A car's fuel tank holds 15 gallons. If the car travels 375 miles on a full tank, what is its mpg?",30 mpg,20 mpg,35 mpg,25 mpg,A,375 ÷ 15 = 25 mpg.
998,Word Knowledge (WK),Choose the word that means the opposite of 'vivid'.,Colorful,Dull,Bright,Clear,B,"'Vivid' means bright or intense, opposite is dull."
999,Paragraph Comprehension (PC),"According to the passage, which is true?",D is accurate,C is wrong,A is false,B is true,A,The passage directly supports D.
1000,Mathematics Knowledge (MK),What is the square root of 81?,9,8,10,7,A,9 × 9 = 81.
